Store,Dept,Size,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday_True,Year,Month,Week,DayOfWeek,Quarter,Actual,Predicted,Resid,Anomaly_RMSE,Resid_zscore,Anomaly_Z
18,8,-0.2636074292347378,-1.730822624380689,-0.46024010195782017,-0.9819959618653835,0.7356388372071699,False,2010,12,51,4,4,46070.05,37507.76050000002,8562.289499999984,1,2.34730898389403,0
1,38,0.23920895416273869,1.4673717695888244,-1.6008814076350966,1.0292009348144433,-0.09300127118587455,False,2010,8,31,4,3,93809.75,80652.8657,13156.884300000005,1,3.607796700176062,1
10,67,-0.16752755217760468,0.5946441468276523,-0.5104021479053871,-1.1469109010889544,0.8392188507563003,False,2010,5,18,4,2,29012.95,19344.56800000002,9668.38199999998,1,2.6507559841217043,0
19,92,1.10020534689319,-1.8029175149566121,-0.13091536551944735,-0.983714338386367,0.05727025106156892,False,2010,12,50,4,4,129070.04,136643.0534000002,-7573.0134000002145,1,-2.0792731173045342,0
27,46,1.1061908657745443,-1.4988180141062906,-0.9858511051475404,-0.9125861124626713,0.14850653242608805,False,2010,2,7,4,1,36708.48,28740.156999999985,7968.3230000000185,1,2.1843593638028347,0
31,79,1.0990738378443863,-0.6499413325882805,-0.444973392321604,1.2296747711157838,-0.48478059704528015,False,2012,1,1,4,1,45757.07,35981.21329999999,9775.856700000011,1,2.680240747209221,0
1,72,0.23920895416273869,0.40871521850027176,1.1907454972729603,1.1372025014625262,-0.14935309202866556,False,2011,5,20,4,2,32615.01,41162.0697,-8547.059700000002,1,-2.3464943739515163,0
23,72,-0.36396736225908566,0.39787388157156217,-1.2017659985740223,-0.9850027089967828,-1.4137806149392964,False,2010,8,32,4,3,63175.29,71168.16360000006,-7992.873600000057,1,-2.1944581657565796,0
39,5,0.7769873273000697,-0.2851303449371819,-1.3718807630918566,0.9853397828960905,0.31863536297051503,False,2010,3,12,4,1,37560.84,26164.241300000016,11396.59869999998,1,3.124877428176675,1
1,92,0.23920895416273869,1.3529956649909316,0.29000962873622066,1.2961564142589301,-0.5647465142412411,False,2012,8,32,4,3,150012.51,142425.8463999998,7586.663600000204,1,2.0796543775212726,0
19,9,1.10020534689319,-0.19514724842888692,1.5484226944643045,-0.8292754021027652,0.017018950459575074,False,2012,10,43,4,4,31404.13,42900.137900000016,-11496.007900000015,1,-3.155513045642001,1
14,40,1.0523047971604909,1.0776257070016921,0.35325742580054365,0.5098816497655405,0.38840428401397037,False,2012,7,28,4,3,58163.09,67085.28940000001,-8922.199400000012,1,-2.449410736399787,0
31,38,1.0990738378443863,0.3729388066355282,1.1253167416891772,1.2768423083414184,-0.5738701423776932,False,2012,4,16,4,2,91464.8,83506.3228999999,7958.477100000106,1,2.181658225498836,0
14,91,1.0523047971604909,-1.7768983063277077,-1.2584709200799677,0.27245794161131903,0.5537029584861589,False,2010,2,5,4,1,162497.78,92117.43739999998,70380.34260000002,1,19.306562186596487,1
8,95,0.3009171940272193,0.13930799582182293,-1.2061279156129416,1.0882923328973135,-0.8964172312016697,False,2010,4,15,4,2,72075.67,63402.76170000005,8672.908299999952,1,2.377656303877463,0
13,16,1.3593537164330218,-0.6797550091422339,0.6411439503691863,-1.0788426562352142,-0.4117915719536652,False,2011,4,16,4,2,30782.73,42140.573799999984,-11357.843799999984,1,-3.1176089086153365,1
20,87,1.0989426483894524,-1.881517207689761,-0.2661347937259319,0.8905803333907494,-0.3312889707496775,True,2011,2,6,4,1,41213.32,50448.122200000005,-9234.802200000006,1,-2.53517063615751,0
13,7,1.3593537164330218,-1.727570223302076,-1.158146828184834,-1.1372205494665795,-0.08870779912166188,True,2010,11,47,4,4,194003.48,148996.3860000001,45007.093999999925,1,12.345628834547634,1
34,1,0.35070359217459185,-0.6531937336668937,-0.08511523661079974,-1.0571391263692969,1.1741096717648887,False,2011,11,44,4,4,35204.27,27882.035499999994,7322.234500000002,1,2.0071105195998373,0
24,90,1.10020534689319,-1.2554300000567462,0.4928387710459466,-0.8839183111919854,0.2649669621678569,False,2011,12,51,4,4,102877.43,83614.44849999993,19262.981500000067,1,5.282952149144958,1
20,21,1.0989426483894524,-1.8929006114649067,-0.4798687286329547,0.8538402562701027,-0.25561652561792925,False,2010,12,51,4,4,29800.75,19345.80000000003,10454.949999999972,1,2.8665441755026966,0
11,1,1.1605524961627327,-0.6548199342062003,-1.7731771306723902,1.107602107779625,-0.3178718705490127,True,2010,2,6,4,1,39996.04,30919.342300000015,9076.697699999986,1,2.488432466046308,0
4,1,1.133724252628773,-0.6461468646632319,-0.6608882857480869,-1.1033592266617132,-0.7783467494358215,False,2011,2,7,4,1,62481.47,50008.17039999999,12473.299600000013,1,3.420261094775489,1
28,93,1.1409232739682647,1.6413752272946238,-0.5692880279307907,-1.1504349745422713,3.3380195921280724,False,2010,7,27,4,3,55133.23,47662.078199999945,7471.151800000058,1,2.047964704911664,0
10,34,-0.16752755217760468,0.03197876022759198,0.8701445949124252,-1.0563422133387106,-0.04630976248756194,True,2011,11,47,4,4,61125.31,48904.24889999996,12221.061100000035,1,3.3510616235134365,1
9,59,-0.17866225716510994,-0.49653641504703105,-1.0360131510951063,1.116676898255733,-0.7515125490344925,False,2010,12,51,4,4,2896.19,10620.308200000001,-7724.118200000001,1,-2.120727424498497,0
41,92,0.9772480302564972,-1.885853742461245,-1.350071177897263,0.5058892652554242,-0.24273610942529125,True,2010,11,47,4,4,147778.7,121333.10560000007,26445.594399999944,1,7.253440456679424,1
45,82,-0.3034890235346093,-1.2088122512632922,0.06100898419298074,0.45608836158812194,0.30199815872169067,True,2011,12,52,4,4,29295.66,18584.222400000013,10711.437599999987,1,2.9369093509429063,0
26,16,0.25885457503907344,-0.10245381768841452,1.0664308616637737,-0.8450563000664221,-0.2529331055777964,False,2012,5,21,4,2,49646.87,41603.35009999998,8043.519900000021,1,2.204988989020817,0
37,38,-1.5876861991995945,0.8743506395883757,-1.4067760994032075,1.0079807086395607,0.2767740103444419,False,2010,10,43,4,4,74119.77,66712.87500000003,7406.894999999975,1,2.030336402392431,0
7,9,-1.0825576016589102,-1.0114999191607663,0.8701445949124252,0.7112496992762489,-0.21643859303198848,False,2012,10,41,4,4,27920.37,35750.44989999998,-7830.079899999979,1,-2.1497971089995835,0
10,5,-0.16752755217760468,-0.3116916204125217,-0.8702603036161903,-1.143022558463356,0.9685596966907076,False,2010,2,5,4,1,75297.91,65084.62770000001,10213.282299999992,1,2.800244712648626,0
6,72,1.0786574789203154,1.700460513556094,0.7043917474335102,1.1716789002151407,-0.5556228861047895,False,2011,8,31,4,3,80258.52,68810.30050000001,11448.219499999992,1,3.139039152362814,1
